id,category,gender,option2,label,textureName,pathId,size,atlasName,atlasPathId,format,preview
female_outfit_강완_skeleton_1024,outfit,female,강완,강완 여성 의상 원본,skeleton,1024,"1024,1024",,-1,RGBA32,
female_outfit_개방_skeleton_12_139,outfit,female,개방,개방 여성 의상 원본,skeleton_12,139,"1012,2065",skeleton.atlas,167,RGBA32,
female_outfit_거경방_작업복_skeleton_6_97,outfit,female,거경방/작업복,거경방/작업복 여성 의상 원본,skeleton_6,97,"3601,323",skeleton.atlas,167,RGBA32,
female_outfit_공동파_skeleton_19_122,outfit,female,공동파,공동파 여성 의상 원본,skeleton_19,122,"1422,1062",skeleton.atlas,167,RGBA32,
female_outfit_금강밀종_skeleton_26_127,outfit,female,금강밀종,금강밀종 여성 의상 원본,skeleton_26,127,"802,2073",skeleton.atlas,167,RGBA32,
female_outfit_금룡방_상인복_skeleton_5_92,outfit,female,금룡방/상인복,금룡방/상인복 여성 의상 원본,skeleton_5,92,"3903,465",skeleton.atlas,167,RGBA32,
female_outfit_기타_skeleton_14_96,outfit,female,기타,기타 여성 의상 원본,skeleton_14,96,"3917,703",skeleton.atlas,167,RGBA32,
female_outfit_기타_skeleton_30_95,outfit,female,기타,기타 여성 의상 원본,skeleton_30,95,"4033,1162",skeleton.atlas,167,RGBA32,
female_outfit_당문_skeleton_15_113,outfit,female,당문,당문 여성 의상 원본,skeleton_15,113,"1496,1051",skeleton.atlas,167,RGBA32,
female_outfit_대은각_skeleton_16_107,outfit,female,대은각,대은각 여성 의상 원본,skeleton_16,107,"1826,1058",skeleton.atlas,167,RGBA32,
female_outfit_모산파_skeleton_22_91,outfit,female,모산파,모산파 여성 의상 원본,skeleton_22,91,"3964,464",skeleton.atlas,167,RGBA32,
female_outfit_모용성진_skeleton_1171,outfit,female,모용성진,모용성진 여성 의상 원본,skeleton,1171,"1024,1024",,-1,RGBA32,
female_outfit_무당파_skeleton_20_106,outfit,female,무당파,무당파 여성 의상 원본,skeleton_20,106,"4017,503",skeleton.atlas,167,RGBA32,
female_outfit_백마홍장_skeleton_123,outfit,female,백마홍장,백마홍장 여성 의상 원본,skeleton,123,"2102,1121",skeleton.atlas,167,RGBA32,
female_outfit_백운천_skeleton_966,outfit,female,백운천,백운천 여성 의상 원본,skeleton,966,"1024,1024",,-1,RGBA32,
female_outfit_벽력당_skeleton_32_142,outfit,female,벽력당,벽력당 여성 의상 원본,skeleton_32,142,"1024,2048",skeleton.atlas,167,RGBA32,
female_outfit_복우파_농민복_skeleton_4_151,outfit,female,복우파/농민복,복우파/농민복 여성 의상 원본,skeleton_4,151,"533,1863",skeleton.atlas,167,RGBA32,
female_outfit_봉래파_skeleton_24_80,outfit,female,봉래파,봉래파 여성 의상 원본,skeleton_24,80,"919,2076",skeleton.atlas,167,RGBA32,
female_outfit_비룡문_skeleton_33_79,outfit,female,비룡문,비룡문 여성 의상 원본,skeleton_33,79,"4096,512",skeleton.atlas,167,RGBA32,
female_outfit_상관봉_skeleton_829,outfit,female,상관봉,상관봉 여성 의상 원본,skeleton,829,"1024,1024",,-1,RGBA32,
female_outfit_신기문_skeleton_21_161,outfit,female,신기문,신기문 여성 의상 원본,skeleton_21,161,"1542,1096",skeleton.atlas,167,RGBA32,
female_outfit_아미파_skeleton_18_90,outfit,female,아미파,아미파 여성 의상 원본,skeleton_18,90,"684,2089",skeleton.atlas,167,RGBA32,
female_outfit_약왕곡_skeleton_23_150,outfit,female,약왕곡,약왕곡 여성 의상 원본,skeleton_23,150,"3481,691",skeleton.atlas,167,RGBA32,
female_outfit_여채미_skeleton_747,outfit,female,여채미,여채미 여성 의상 원본,skeleton,747,"1024,1024",,-1,RGBA32,
female_outfit_염라전_skeleton_29_143,outfit,female,염라전,염라전 여성 의상 원본,skeleton_29,143,"1628,1032",skeleton.atlas,167,RGBA32,
female_outfit_오독교_skeleton_13_103,outfit,female,오독교,오독교 여성 의상 원본,skeleton_13,103,"1045,1558",skeleton.atlas,167,RGBA32,
female_outfit_용봉아_skeleton_816,outfit,female,용봉아,용봉아 여성 의상 원본,skeleton,816,"1024,1024",,-1,RGBA32,
female_outfit_용응상_skeleton_1105,outfit,female,용응상,용응상 여성 의상 원본,skeleton,1105,"1024,1024",,-1,RGBA32,
female_outfit_임운상_skeleton_764,outfit,female,임운상,임운상 여성 의상 원본,skeleton,764,"1024,512",,-1,RGBA32,
female_outfit_장락방_skeleton_28_141,outfit,female,장락방,장락방 여성 의상 원본,skeleton_28,141,"3624,611",skeleton.atlas,167,RGBA32,
female_outfit_장문형_skeleton_1190,outfit,female,장문형,장문형 여성 의상 원본,skeleton,1190,"1024,1024",,-1,RGBA32,
female_outfit_주검산장_skeleton_27_104,outfit,female,주검산장,주검산장 여성 의상 원본,skeleton_27,104,"3798,556",skeleton.atlas,167,RGBA32,
female_outfit_천산파_skeleton_17_156,outfit,female,천산파,천산파 여성 의상 원본,skeleton_17,156,"940,2061",skeleton.atlas,167,RGBA32,resources/previews/female/skeleton_17_preview.png
female_outfit_철장방_사도복_skeleton_3_98,outfit,female,철장방/사도복,철장방/사도복 여성 의상 원본,skeleton_3,98,"3689,379",skeleton.atlas,167,RGBA32,
female_outfit_청성파_유생복_skeleton_8_99,outfit,female,청성파/유생복,청성파/유생복 여성 의상 원본,skeleton_8,99,"838,2094",skeleton.atlas,167,RGBA32,
female_outfit_취의문_유협복_skeleton_9_105,outfit,female,취의문/유협복,취의문/유협복 여성 의상 원본,skeleton_9,105,"1663,1084",skeleton.atlas,167,RGBA32,
female_outfit_팔괘문_관복_skeleton_7_112,outfit,female,팔괘문/관복,팔괘문/관복 여성 의상 원본,skeleton_7,112,"3906,396",skeleton.atlas,167,RGBA32,
female_outfit_패도문_skeleton_31_155,outfit,female,패도문,패도문 여성 의상 원본,skeleton_31,155,"933,2185",skeleton.atlas,167,RGBA32,
female_outfit_평상복_skeleton_25_154,outfit,female,평상복,평상복 여성 의상 원본,skeleton_25,154,"2781,558",skeleton.atlas,167,RGBA32,
female_outfit_풍기청평_skeleton_2_94,outfit,female,풍기청평,풍기청평 여성 의상 원본,skeleton_2,94,"3738,416",skeleton.atlas,167,RGBA32,
female_outfit_해사방_살수복_skeleton_11_133,outfit,female,해사방/살수복,해사방/살수복 여성 의상 원본,skeleton_11,133,"1579,1065",skeleton.atlas,167,RGBA32,
female_outfit_황보청삼_skeleton_745,outfit,female,황보청삼,황보청삼 여성 의상 원본,skeleton,745,"1024,1024",,-1,RGBA32,
female_outfit_황하방_강도복_skeleton_10_128,outfit,female,황하방/강도복,황하방/강도복 여성 의상 원본,skeleton_10,128,"2765,532",skeleton.atlas,167,RGBA32,
female_outfit_희청범_skeleton_1096,outfit,female,희청범,희청범 여성 의상 원본,skeleton,1096,"1024,1024",,-1,RGBA32,
male_outfit_개방_skeleton_12_158,outfit,male,개방,개방 남성 의상 원본,skeleton_12,158,"1821,1316",skeleton.atlas,170,RGBA32,
male_outfit_거경방_작업복_skeleton_6_129,outfit,male,거경방/작업복,거경방/작업복 남성 의상 원본,skeleton_6,129,"4064,411",skeleton.atlas,170,RGBA32,
male_outfit_계심광_skeleton_903,outfit,male,계심광,계심광 남성 의상 원본,skeleton,903,"1024,1024",,-1,RGBA32,
male_outfit_고회_skeleton_1069,outfit,male,고회,고회 남성 의상 원본,skeleton,1069,"1024,1024",,-1,RGBA32,
male_outfit_공동파_skeleton_20_85,outfit,male,공동파,공동파 남성 의상 원본,skeleton_20,85,"3873,785",skeleton.atlas,170,RGBA32,
male_outfit_금강밀종_skeleton_27_146,outfit,male,금강밀종,금강밀종 남성 의상 원본,skeleton_27,146,"1202,2079",skeleton.atlas,170,RGBA32,
male_outfit_금룡방_상인복_skeleton_5_149,outfit,male,금룡방/상인복,금룡방/상인복 남성 의상 원본,skeleton_5,149,"4053,840",skeleton.atlas,170,RGBA32,
male_outfit_금룡생_skeleton_1037,outfit,male,금룡생,금룡생 남성 의상 원본,skeleton,1037,"1024,1024",,-1,RGBA32,
male_outfit_기타_skeleton_14_159,outfit,male,기타,기타 남성 의상 원본,skeleton_14,159,"1317,2059",skeleton.atlas,170,RGBA32,
male_outfit_기타_skeleton_31_130,outfit,male,기타,기타 남성 의상 원본,skeleton_31,130,"4065,2374",skeleton.atlas,170,RGBA32,
male_outfit_나쁜애_skeleton_788,outfit,male,나쁜애,나쁜애 남성 의상 원본,skeleton,788,"1024,1024",,-1,RGBA32,
male_outfit_당문_skeleton_15_144,outfit,male,당문,당문 남성 의상 원본,skeleton_15,144,"2495,1094",skeleton.atlas,170,RGBA32,
male_outfit_대은각_skeleton_16_86,outfit,male,대은각,대은각 남성 의상 원본,skeleton_16,86,"3407,908",skeleton.atlas,170,RGBA32,
male_outfit_도무명_skeleton_1261,outfit,male,도무명,도무명 남성 의상 원본,skeleton,1261,"1024,1024",,-1,RGBA32,
male_outfit_모산파_skeleton_23_160,outfit,male,모산파,모산파 남성 의상 원본,skeleton_23,160,"3551,910",skeleton.atlas,170,RGBA32,
male_outfit_무당파_skeleton_21_88,outfit,male,무당파,무당파 남성 의상 원본,skeleton_21,88,"4023,767",skeleton.atlas,170,RGBA32,
male_outfit_무절의_skeleton_909,outfit,male,무절의,무절의 남성 의상 원본,skeleton,909,"1024,1024",,-1,RGBA32,
male_outfit_백마홍장_skeleton_157,outfit,male,백마홍장,백마홍장 남성 의상 원본,skeleton,157,"2102,1121",skeleton.atlas,170,RGBA32,
male_outfit_벽력당_skeleton_33_82,outfit,male,벽력당,벽력당 남성 의상 원본,skeleton_33,82,"4096,1024",skeleton.atlas,170,RGBA32,
male_outfit_복우파_농민복_skeleton_4_131,outfit,male,복우파/농민복,복우파/농민복 남성 의상 원본,skeleton_4,131,"3960,427",skeleton.atlas,170,RGBA32,
male_outfit_봉래파_skeleton_25_114,outfit,male,봉래파,봉래파 남성 의상 원본,skeleton_25,114,"4030,832",skeleton.atlas,170,RGBA32,
male_outfit_비룡문_skeleton_34_117,outfit,male,비룡문,비룡문 남성 의상 원본,skeleton_34,117,"1024,2048",skeleton.atlas,170,RGBA32,
male_outfit_소림사_skeleton_18_153,outfit,male,소림사,소림사 남성 의상 원본,skeleton_18,153,"2257,1154",skeleton.atlas,170,RGBA32,
male_outfit_신기문_skeleton_22_147,outfit,male,신기문,신기문 남성 의상 원본,skeleton_22,147,"2192,1120",skeleton.atlas,170,RGBA32,
male_outfit_아미파_skeleton_19_136,outfit,male,아미파,아미파 남성 의상 원본,skeleton_19,136,"3539,784",skeleton.atlas,170,RGBA32,
male_outfit_약왕곡_skeleton_24_124,outfit,male,약왕곡,약왕곡 남성 의상 원본,skeleton_24,124,"1792,2090",skeleton.atlas,170,RGBA32,
male_outfit_염라왕_skeleton_1028,outfit,male,염라왕,염라왕 남성 의상 원본,skeleton,1028,"1024,1024",,-1,RGBA32,
male_outfit_염라전_skeleton_30_87,outfit,male,염라전,염라전 남성 의상 원본,skeleton_30,87,"3948,615",skeleton.atlas,170,RGBA32,
male_outfit_오독교_skeleton_13_101,outfit,male,오독교,오독교 남성 의상 원본,skeleton_13,101,"3777,618",skeleton.atlas,170,RGBA32,
male_outfit_위서화_skeleton_1231,outfit,male,위서화,위서화 남성 의상 원본,skeleton,1231,"1024,1024",,-1,RGBA32,
male_outfit_이름_skeleton_1139,outfit,male,이름,이름 남성 의상 원본,skeleton,1139,"1024,512",,-1,RGBA32,
male_outfit_장락방_skeleton_29_93,outfit,male,장락방,장락방 남성 의상 원본,skeleton_29,93,"2951,1075",skeleton.atlas,170,RGBA32,
male_outfit_주검산장_skeleton_28_109,outfit,male,주검산장,주검산장 남성 의상 원본,skeleton_28,109,"2235,1107",skeleton.atlas,170,RGBA32,
male_outfit_천산파_skeleton_17_84,outfit,male,천산파,천산파 남성 의상 원본,skeleton_17,84,"1282,2165",skeleton.atlas,170,RGBA32,resources/previews/male/skeleton_17_preview.png
male_outfit_철장방_사도복_skeleton_3_118,outfit,male,철장방/사도복,철장방/사도복 남성 의상 원본,skeleton_3,118,"3477,922",skeleton.atlas,170,RGBA32,
male_outfit_청성파_유생복_skeleton_8_115,outfit,male,청성파/유생복,청성파/유생복 남성 의상 원본,skeleton_8,115,"2366,1066",skeleton.atlas,170,RGBA32,
male_outfit_취의문_유협복_skeleton_9_162,outfit,male,취의문/유협복,취의문/유협복 남성 의상 원본,skeleton_9,162,"2557,1178",skeleton.atlas,170,RGBA32,
male_outfit_팔괘문_관복_skeleton_7_108,outfit,male,팔괘문/관복,팔괘문/관복 남성 의상 원본,skeleton_7,108,"1052,2248",skeleton.atlas,170,RGBA32,
male_outfit_패도문_skeleton_32_81,outfit,male,패도문,패도문 남성 의상 원본,skeleton_32,81,"4058,816",skeleton.atlas,170,RGBA32,
male_outfit_평상복_skeleton_26_152,outfit,male,평상복,평상복 남성 의상 원본,skeleton_26,152,"3754,629",skeleton.atlas,170,RGBA32,
male_outfit_풍기청평_skeleton_2_100,outfit,male,풍기청평,풍기청평 남성 의상 원본,skeleton_2,100,"2390,1230",skeleton.atlas,170,RGBA32,
male_outfit_해사방_살수복_skeleton_11_126,outfit,male,해사방/살수복,해사방/살수복 남성 의상 원본,skeleton_11,126,"3289,610",skeleton.atlas,170,RGBA32,
male_outfit_황보빈_skeleton_1368,outfit,male,황보빈,황보빈 남성 의상 원본,skeleton,1368,"1024,1024",,-1,RGBA32,
male_outfit_황하방_강도복_skeleton_10_125,outfit,male,황하방/강도복,황하방/강도복 남성 의상 원본,skeleton_10,125,"1934,1110",skeleton.atlas,170,RGBA32,
